Faction,Quest Name,Quest Description,Success Conditions,Requirements,Rewards
Reclaimers,"Component Collection","Gather electronic components from abandoned sites for Reclaimer projects.","Collect specified components and return safely.","Scavenging skills, Reclaimer trust.","Items: Electronic Components; Skill: Component Identification; Knowledge: Access to Reclaimer workshops."
Reclaimers,"Test the Prototype","Field-test a new device developed by the Reclaimers and report its performance.","Successfully test the device under specified conditions.","Willingness to take risks, Reclaimer trust.","Items: Prototype Device; Skill: Field Testing; Knowledge: Early access to new technologies."
Reclaimers,"Recruitment Drive","Help the Reclaimers recruit skilled individuals from neutral settlements.","Convince at least one individual to join the Reclaimers.","Persuasion skills, understanding of Reclaimer ideals.","Items: Reclaimer Badge; Skill: Recruitment Techniques; Knowledge: Increased Reclaimer influence."
Reclaimers,"Defensive Measures","Install defensive turrets around a Reclaimer base to enhance security.","Install all turrets correctly and ensure they are operational.","Technical skills, ability to carry heavy equipment.","Items: Personal Defense Device; Skill: Defensive Engineering; Knowledge: Enhanced base security."
Reclaimers,"Data Analysis","Assist in analyzing data collected from machines to identify patterns.","Successfully identify valuable information or patterns.","Analytical skills, Reclaimer trust.","Items: Data Analysis Report; Skill: Data Interpretation; Knowledge: Machine behavior insights."
Autonomous Machines,"Lubricant Delivery","Deliver necessary lubricants to maintain machine operations in a designated area.","Deliver lubricants without human interference or detection.","Stealth, knowledge of machine territories, Alpha-7's trust.","Items: Machine Lubricants; Skill: Maintenance Assistance; Knowledge: Improved machine efficiency."
Autonomous Machines,"Signal Boost","Install signal boosters to enhance machine communication networks.","Install boosters without causing disruptions or alerts.","Technical skills, ability to navigate machine areas.","Items: Signal Booster Module; Skill: Signal Optimization; Knowledge: Machine network expansion."
Autonomous Machines,"Environmental Monitoring","Collect environmental data from specific locations for machine analysis.","Collect data without being detected by humans or hostile creatures.","Stealth, data collection devices.","Items: Environmental Data; Skill: Data Collection; Knowledge: Environmental impact on machines."
Autonomous Machines,"Power Redistribution","Adjust power grids in machine-controlled zones to optimize energy usage.","Successfully redistribute power without causing outages or alerts.","Technical skills, Alpha-7's approval.","Items: Power Regulator; Skill: Energy Management; Knowledge: Enhanced machine operations."
Autonomous Machines,"Resource Mapping","Map resource deposits for machine extraction efforts in uncharted areas.","Complete mapping without human discovery or interference.","Mapping skills, stealth, Alpha-7's directives.","Items: Resource Map; Skill: Resource Analysis; Knowledge: Machine resource planning."
Wraith-related,"Wraith Behavior Study","Collect samples from Wraith habitats for research without provoking them.","Obtain samples and return safely without alerting Wraiths.","Stealth, knowledge of Wraith habitats.","Items: Wraith Samples; Skill: Wraith Ecology; Knowledge: Understanding Wraith biology."
Wraith-related,"Protect the Herd","Help a local farmer protect livestock from nocturnal Wraith attacks.","Prevent Wraiths from attacking during the night watch.","Combat skills, willingness to help.","Items: Farmer's Gratitude; Skill: Defensive Strategies; Knowledge: Local area defenses."
Wraith-related,"Bounty Hunt","Eliminate a specific Wraith that has been terrorizing travelers on a trade route.","Track and kill the designated Wraith successfully.","Tracking skills, combat readiness.","Items: Wraith Trophy; Skill: Wraith Hunter; Knowledge: Increased reputation as a hunter."
Wraith-related,"Wraith Decoy","Set up decoys to lure Wraiths away from a vulnerable settlement.","Successfully divert Wraiths without endangering others.","Crafting skills, stealth, knowledge of Wraith behavior.","Items: Decoy Plans; Skill: Lure Crafting; Knowledge: Wraith distraction techniques."
Wraith-related,"Safe Passage","Escort a caravan through Wraith-infested territory to its destination.","Ensure the caravan reaches its destination safely.","Combat and protective skills.","Items: Caravan Supplies; Skill: Escort Tactics; Knowledge: Safer routes through dangerous areas."
Side Quest,"Medic's Aid","Gather medicinal herbs from dangerous zones or retrieve specific supplies from a derelict pharmacy for a traveling medic.","Collect all required herbs or supplies and return them safely to the medic.","Survival skills, knowledge of herb locations, non-hostile status.","Items: Basic Medkit; Skill: Field Medicine; Bonus: Reusable healing item or first aid training if extra supplies are returned."
Side Quest,"The Lost Trader","Locate a trader's hidden stash in a nearby abandoned building and bring back valuable supplies.","Find the stash and return all items intact without taking any for yourself.","Navigation skills, honesty, ability to handle potential threats.","Items: Assorted loot; Skill: Bartering Basics; Bonus: Special discounts and reputation boost with wasteland traders."
Side Quest,"Avenge the Fallen","Eliminate the raiders who attacked a survivor's family and bring back proof of completion.","Eliminate all target raiders and provide proof to the survivor.","Combat skills, tracking abilities, survivor's guidance.","Items: Raider Insignia; Skill: Combat Precision; Bonus: Stealth boost if completed undetected."
Side Quest,"Tools of the Trade","Scavenge for rare metal scraps and a working blowtorch in a machine-dominated factory for a blacksmith.","Retrieve all required items without alerting machines and return them to the blacksmith.","Stealth, resource gathering, knowledge of machine patrols.","Items: Modified Melee Weapon; Skill: Weapon Crafting; Bonus: Access to blacksmith's services for upgrades."
Side Quest,"A Taste of the Past","Find cans of preserved food or ingredients in an old grocery store and bring them back to an elder survivor.","Successfully collect and return the items without spoilage or contamination.","Scavenging skills, ability to navigate urban ruins.","Items: High-quality Rations; Skill: Scavenger's Eye; Bonus: Reputation boost in the local community."
Side Quest,"Missing Person","Search for a lost child near the Wraithlands and follow clues leading to their location.","Find and safely return the child to their parent.","Tracking skills, combat readiness, empathy.","Items: Wraith Repellent Spray; Skill: Tracking; Bonus: Family heirloom boosting stealth or survival skills."
Side Quest,"Signal for Help","Locate radio parts in an old electronics store and help a ham radio operator repair their equipment.","Successfully find the parts and restore the radio's functionality.","Electronics knowledge, scavenging skills, protection of the operator during repairs.","Items: Portable Radio; Skill: Electronics Basics; Bonus: Access to extra missions or loot drops through new contacts."
Side Quest,"A Guard's Best Friend","Track down a guard's lost dog in a nearby machine-patrolled zone and ensure its safe return.","Find the dog and return it without alerting machines.","Animal handling skills, stealth, compassion.","Items: Dog Tags; Skill: Animal Bond; Bonus: Rare item from the guard, such as extra armor or unique ammunition."
Side Quest,"Hidden Treasures","Investigate an abandoned warehouse rumored to contain treasure, dodging traps and retrieving valuables.","Successfully navigate traps and collect valuables without triggering alarms.","Agility, lockpicking, trap disarming skills.","Items: Assorted valuables; Skill: Lockpicking; Bonus: Agility boost for avoiding future hazards."
Side Quest,"Out of Ammo","Collect rare ammunition types from an old military depot and return them to a sniper in need.","Gather the specified ammunition and deliver it safely to the sniper.","Knowledge of ammo types, combat skills to handle depot defenses.","Items: Sniper's Scope; Skill: Sharpshooter; Bonus: Sniper may assist in future encounters if trust is gained."
Side Quest,"The Artist's Canvas","Collect natural dyes from hazardous areas or find old paint supplies for an artist seeking materials.","Obtain the requested pigments and materials without damaging them.","Exploration skills, avoidance of hazards, willingness to help an artist.","Items: Painted Charm; Skill: Observation; Bonus: Reputation boost with artistic NPCs, unlocking unique goods or knowledge."
Side Quest,"The Knowledge Keeper","Search a ruined school or library for books and educational materials to bring back to a retired teacher.","Collect and return as many books as possible, prioritizing rare or valuable ones.","Literacy, scavenging skills, ability to carry heavy items.","Items: Survivor's Handbook; Skill: Lore Knowledge; Bonus: Enhanced knowledge about the Great Machine War."
Side Quest,"Wandering Healer","Gather medicinal herbs from a swamp area and find uncontaminated water for a nomadic healer.","Successfully collect herbs and pure water, and deliver them safely.","Herbalism skills, ability to navigate swamp hazards, container for water.","Items: Healing Salve; Skill: Herbalist's Wisdom; Bonus: Healer may aid with health restoration in future quests."
Side Quest,"The Mechanic's Helper","Find replacement parts in a scrapyard and help a mechanic repair a power generator at a small settlement.","Obtain the parts and assist in repairing the generator efficiently.","Mechanical repair skills, scavenging, protection from potential threats.","Items: Power Cell; Skill: Mechanical Repair; Bonus: Settlement's lights and defenses restored, providing safe area and loot restocks."
Side Quest,"The Silent Watcher","Document patrol routes and behavior of machines in a specific zone for an obsessed scout.","Collect detailed observations without being detected by machines.","Stealth, patience, observational skills.","Items: Scanner Module; Skill: Machine Observation; Bonus: Scout shares rare information about machine nodes and weaknesses."
Side Quest,"The Wanderer's Map","Scout and map a new, dangerous area for a cartographer trading in maps and navigation tools.","Successfully map the area and return the data to the cartographer.","Navigation skills, survival abilities, ability to evade or handle threats.","Items: Detailed Map; Skill: Cartography; Bonus: Access to rare maps showing secret locations or hidden stashes."
Raiders,"Resource Negotiation","Negotiate with a nearby settlement to secure resources without resorting to violence.","Successfully reach an agreement beneficial to the Raiders.","Diplomacy skills, Raider trust.","Items: Trade Agreement; Skill: Negotiation Techniques; Knowledge: Improved Raider relations."
Raiders,"Hidden Agenda","Deliver a sealed message to a Raider agent in a neutral town without being discovered.","Successfully deliver the message without opening it or being caught.","Stealth, discretion, Raider approval.","Items: Raider Cipher; Skill: Covert Operations; Knowledge: Increased standing with Raider intelligence."
Raiders,"Training the Recruits","Assist in training new Raider recruits in basic combat and survival skills.","Complete the training regimen and improve recruits' abilities.","Combat proficiency, teaching skills.","Items: Raider Training Manual; Skill: Leadership Basics; Knowledge: Influence within Raider ranks."
Raiders,"Camp Maintenance","Help maintain and improve the Raider camp's facilities, such as fortifications or shelters.","Successfully complete assigned maintenance tasks.","Basic construction skills, willingness to assist.","Items: Improved Camp Facilities; Skill: Construction Basics; Knowledge: Enhanced camp defenses."
Raiders,"Scouting Mission","Scout a designated area for potential threats or opportunities and report back.","Provide accurate and detailed reports without engaging enemies.","Stealth, observation skills, Raider trust.","Items: Raider Scout Badge; Skill: Reconnaissance; Knowledge: Strategic locations."
Remnants,"Artifact Preservation","Help catalog and preserve artifacts recovered from ruins before they deteriorate.","Successfully document and store artifacts properly.","Attention to detail, Remnant trust.","Items: Preservation Kit; Skill: Archival Techniques; Knowledge: Access to artifact collection."
Remnants,"Community Outreach","Assist in educating younger members of the Remnants about survival skills or history.","Successfully conduct a lesson or workshop.","Knowledgeable in subject matter, communication skills.","Items: Teaching Aids; Skill: Mentorship; Knowledge: Improved community relations."
Remnants,"Water Purification","Improve the water purification system in a Remnant settlement.","Successfully enhance water quality and system efficiency.","Engineering skills, Remnant trust.","Items: Purified Water Supplies; Skill: Water Treatment; Knowledge: Health benefits for the settlement."
Remnants,"Emergency Repairs","Assist in making emergency repairs after a minor disaster, such as a storm or small attack.","Complete repairs promptly to prevent further damage.","Repair skills, teamwork.","Items: Repair Tools; Skill: Emergency Response; Knowledge: Increased trust from Remnant leaders."
Remnants,"Cultural Exchange","Organize a cultural exchange event with another friendly group to share knowledge and traditions.","Successfully host the event with positive outcomes.","Organizational skills, diplomacy.","Items: Cultural Artifacts; Skill: Event Coordination; Knowledge: Strengthened alliances."
Reclaimers,"Energy Source Investigation","Investigate an unusual energy reading at an old power plant for potential reuse.","Determine the source and report findings safely.","Exploration skills, Reclaimer trust.","Items: Energy Samples; Skill: Energy Analysis; Knowledge: Potential new power source."
Reclaimers,"Safe Transport","Escort a shipment of delicate equipment to a Reclaimer facility without damage.","Ensure equipment arrives safely and intact.","Protective skills, careful handling.","Items: Equipment Access; Skill: Logistics Management; Knowledge: Improved Reclaimer operations."
Reclaimers,"Prototype Shield Test","Test a new energy shield prototype in controlled conditions.","Successfully activate and assess the shield's performance.","Willingness to participate in experiments, Reclaimer trust.","Items: Energy Shield Device; Skill: Shield Operation; Knowledge: Advanced defensive tech."
Reclaimers,"Machine Dialogue","Attempt communication with a non-hostile machine to gather data on AI behavior.","Establish communication and record data without provoking hostility.","Hacking or language skills, cautious approach.","Items: Communication Logs; Skill: AI Linguistics; Knowledge: Improved understanding of machines."
Reclaimers,"Resource Allocation","Assist in planning the allocation of limited resources for maximum efficiency.","Provide a viable plan that is approved by Reclaimer leaders.","Analytical skills, understanding of Reclaimer needs.","Items: Resource Planner Access; Skill: Resource Management; Knowledge: Enhanced Reclaimer productivity."
Autonomous Machines,"Terrain Mapping","Assist in updating terrain maps for better machine navigation and planning.","Successfully map designated areas without errors.","Mapping skills, Alpha-7's directives.","Items: Updated Terrain Data; Skill: Cartography Enhancement; Knowledge: Improved machine navigation."
Autonomous Machines,"Self-Diagnostics","Run diagnostic checks on specific machine units and report any anomalies.","Complete diagnostics without causing disruptions.","Technical skills, careful handling.","Items: Diagnostic Tools; Skill: Machine Diagnostics; Knowledge: Machine health status."
Autonomous Machines,"Waste Disposal","Help in disposing of obsolete or damaged machine parts in an efficient manner.","Successfully dispose of parts without environmental contamination.","Understanding of disposal protocols, Alpha-7's trust.","Items: Recycled Materials; Skill: Waste Management; Knowledge: Environmental impact reduction."
Autonomous Machines,"Component Upgrade","Assist in upgrading machine components to improve performance.","Successfully complete upgrades without malfunctions.","Technical skills, precision.","Items: Upgraded Components; Skill: Component Upgrades; Knowledge: Enhanced machine capabilities."
Autonomous Machines,"Stealth Observation","Monitor human settlements from a distance to gather behavioral data without detection.","Collect required data without alerting humans.","Stealth, observation equipment.","Items: Observation Data; Skill: Advanced Surveillance; Knowledge: Human behavior patterns."
