Type,Unique Name,Display Name,Description,Essentials,Quest Log Widget,Quest Completed Widget,Quest Failed Widget,Sequences,Rewards,Quests To Add On Completed
Side,Defensive_Measures,Defensive Measures,Install defensive turrets around a Reclaimer base to enhance security.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Technical skills, ability to carry heavy equipment.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Personal Defense Device; Skill: Defensive Engineering; Knowledge: Enhanced base security.,
Side,Data_Analysis,Data Analysis,Assist in analyzing data collected from machines to identify patterns.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Analytical skills, Reclaimer trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Data Analysis Report; Skill: Data Interpretation; Knowledge: Machine behavior insights.,
Side,Lubricant_Delivery,Lubricant Delivery,Deliver necessary lubricants to maintain machine operations in a designated area.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, knowledge of machine territories, Alpha-7's trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Machine Lubricants; Skill: Maintenance Assistance; Knowledge: Improved machine efficiency.,
Side,Signal_Boost,Signal Boost,Install signal boosters to enhance machine communication networks.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Technical skills, ability to navigate machine areas.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Signal Booster Module; Skill: Signal Optimization; Knowledge: Machine network expansion.,
Side,Environmental_Monitoring,Environmental Monitoring,Collect environmental data from specific locations for machine analysis.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, data collection devices.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Environmental Data; Skill: Data Collection; Knowledge: Environmental impact on machines.,
Side,Power_Redistribution,Power Redistribution,Adjust power grids in machine-controlled zones to optimize energy usage.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Technical skills, Alpha-7's approval.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Power Regulator; Skill: Energy Management; Knowledge: Enhanced machine operations.,
Side,Resource_Mapping,Resource Mapping,Map resource deposits for machine extraction efforts in uncharted areas.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Mapping skills, stealth, Alpha-7's directives.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Resource Map; Skill: Resource Analysis; Knowledge: Machine resource planning.,
Side,Wraith_Behavior_Study,Wraith Behavior Study,Collect samples from Wraith habitats for research without provoking them.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, knowledge of Wraith habitats.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Wraith Samples; Skill: Wraith Ecology; Knowledge: Understanding Wraith biology.,
Side,Protect_the_Herd,Protect the Herd,Help a local farmer protect livestock from nocturnal Wraith attacks.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Combat skills, willingness to help.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Farmer's Gratitude; Skill: Defensive Strategies; Knowledge: Local area defenses.,
Side,Bounty_Hunt,Bounty Hunt,Eliminate a specific Wraith that has been terrorizing travelers on a trade route.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Tracking skills, combat readiness.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Wraith Trophy; Skill: Wraith Hunter; Knowledge: Increased reputation as a hunter.,
Side,Wraith_Decoy,Wraith Decoy,Set up decoys to lure Wraiths away from a vulnerable settlement.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Crafting skills, stealth, knowledge of Wraith behavior.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Decoy Plans; Skill: Lure Crafting; Knowledge: Wraith distraction techniques.,
Side,Safe_Passage,Safe Passage,Escort a caravan through Wraith-infested territory to its destination.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Combat and protective skills.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Caravan Supplies; Skill: Escort Tactics; Knowledge: Safer routes through dangerous areas.,
Side,Medic's_Aid,Medic's Aid,Gather medicinal herbs from dangerous zones or retrieve specific supplies from a derelict pharmacy for a traveling medic.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Survival skills, knowledge of herb locations, non-hostile status.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Basic Medkit; Skill: Field Medicine; Bonus: Reusable healing item or first aid training if extra supplies are returned.,
Side,The_Lost_Trader,The Lost Trader,Locate a trader's hidden stash in a nearby abandoned building and bring back valuable supplies.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Navigation skills, honesty, ability to handle potential threats.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Assorted loot; Skill: Bartering Basics; Bonus: Special discounts and reputation boost with wasteland traders.,
Side,Avenge_the_Fallen,Avenge the Fallen,Eliminate the raiders who attacked a survivor's family and bring back proof of completion.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Combat skills, tracking abilities, survivor's guidance.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Raider Insignia; Skill: Combat Precision; Bonus: Stealth boost if completed undetected.,
Side,Tools_of_the_Trade,Tools of the Trade,Scavenge for rare metal scraps and a working blowtorch in a machine-dominated factory for a blacksmith.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, resource gathering, knowledge of machine patrols.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Modified Melee Weapon; Skill: Weapon Crafting; Bonus: Access to blacksmith's services for upgrades.,
Side,A_Taste_of_the_Past,A Taste of the Past,Find cans of preserved food or ingredients in an old grocery store and bring them back to an elder survivor.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Scavenging skills, ability to navigate urban ruins.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: High-quality Rations; Skill: Scavenger's Eye; Bonus: Reputation boost in the local community.,
Side,Missing_Person,Missing Person,Search for a lost child near the Wraithlands and follow clues leading to their location.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Tracking skills, combat readiness, empathy.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Wraith Repellent Spray; Skill: Tracking; Bonus: Family heirloom boosting stealth or survival skills.,
Side,Signal_for_Help,Signal for Help,Locate radio parts in an old electronics store and help a ham radio operator repair their equipment.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Electronics knowledge, scavenging skills, protection of the operator during repairs.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Portable Radio; Skill: Electronics Basics; Bonus: Access to extra missions or loot drops through new contacts.,
Side,A_Guard's_Best_Friend,A Guard's Best Friend,Track down a guard's lost dog in a nearby machine-patrolled zone and ensure its safe return.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Animal handling skills, stealth, compassion.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())","Items: Dog Tags; Skill: Animal Bond; Bonus: Rare item from the guard, such as extra armor or unique ammunition.",
Side,Hidden_Treasures,Hidden Treasures,"Investigate an abandoned warehouse rumored to contain treasure, dodging traps and retrieving valuables.","(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Agility, lockpicking, trap disarming skills.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Assorted valuables; Skill: Lockpicking; Bonus: Agility boost for avoiding future hazards.,
Side,Out_of_Ammo,Out of Ammo,Collect rare ammunition types from an old military depot and return them to a sniper in need.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Knowledge of ammo types, combat skills to handle depot defenses.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Sniper's Scope; Skill: Sharpshooter; Bonus: Sniper may assist in future encounters if trust is gained.,
Side,The_Artist's_Canvas,The Artist's Canvas,Collect natural dyes from hazardous areas or find old paint supplies for an artist seeking materials.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Exploration skills, avoidance of hazards, willingness to help an artist.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())","Items: Painted Charm; Skill: Observation; Bonus: Reputation boost with artistic NPCs, unlocking unique goods or knowledge.",
Side,The_Knowledge_Keeper,The Knowledge Keeper,Search a ruined school or library for books and educational materials to bring back to a retired teacher.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Literacy, scavenging skills, ability to carry heavy items.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Survivor's Handbook; Skill: Lore Knowledge; Bonus: Enhanced knowledge about the Great Machine War.,
Side,Wandering_Healer,Wandering Healer,Gather medicinal herbs from a swamp area and find uncontaminated water for a nomadic healer.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Herbalism skills, ability to navigate swamp hazards, container for water.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Healing Salve; Skill: Herbalist's Wisdom; Bonus: Healer may aid with health restoration in future quests.,
Side,The_Mechanic's_Helper,The Mechanic's Helper,Find replacement parts in a scrapyard and help a mechanic repair a power generator at a small settlement.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Mechanical repair skills, scavenging, protection from potential threats.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())","Items: Power Cell; Skill: Mechanical Repair; Bonus: Settlement's lights and defenses restored, providing safe area and loot restocks.",
Side,The_Silent_Watcher,The Silent Watcher,Document patrol routes and behavior of machines in a specific zone for an obsessed scout.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, patience, observational skills.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Scanner Module; Skill: Machine Observation; Bonus: Scout shares rare information about machine nodes and weaknesses.,
Side,The_Wanderer's_Map,The Wanderer's Map,"Scout and map a new, dangerous area for a cartographer trading in maps and navigation tools.","(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Navigation skills, survival abilities, ability to evade or handle threats.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Detailed Map; Skill: Cartography; Bonus: Access to rare maps showing secret locations or hidden stashes.,
Side,Resource_Negotiation,Resource Negotiation,Negotiate with a nearby settlement to secure resources without resorting to violence.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Diplomacy skills, Raider trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Trade Agreement; Skill: Negotiation Techniques; Knowledge: Improved Raider relations.,
Side,Hidden_Agenda,Hidden Agenda,Deliver a sealed message to a Raider agent in a neutral town without being discovered.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, discretion, Raider approval.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Raider Cipher; Skill: Covert Operations; Knowledge: Increased standing with Raider intelligence.,
Side,Training_the_Recruits,Training the Recruits,Assist in training new Raider recruits in basic combat and survival skills.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Combat proficiency, teaching skills.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Raider Training Manual; Skill: Leadership Basics; Knowledge: Influence within Raider ranks.,
Side,Camp_Maintenance,Camp Maintenance,"Help maintain and improve the Raider camp's facilities, such as fortifications or shelters.","(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Basic construction skills, willingness to assist.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Improved Camp Facilities; Skill: Construction Basics; Knowledge: Enhanced camp defenses.,
Side,Scouting_Mission,Scouting Mission,Scout a designated area for potential threats or opportunities and report back.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Stealth, observation skills, Raider trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Raider Scout Badge; Skill: Reconnaissance; Knowledge: Strategic locations.,
Side,Artifact_Preservation,Artifact Preservation,Help catalog and preserve artifacts recovered from ruins before they deteriorate.,"(Interaction Type=Select An Interaction Type,Repeatable=False,Condition Tags=Attention to detail, Remnant trust.)","(Icon As Material=None,Icon As Texture=None)","(Top Text=NSLOCTEXT("""", """", ""QUEST COMPLETED""),Display Time=3.0)","(Top Text=NSLOCTEXT("""", """", ""QUEST FAILED""),Display Time=3.0)","(Title=NSLOCTEXT("""", """", ""Objective Title""),Objectives=())",Items: Preservation Kit; Skill: Archival Techniques; Knowledge: Access to artifact collection.,
